2016-03-12 23:15:20,716	label:Health
2016-03-12 23:15:20,748	classfying:text:Non-invasive test can detect celiac disease in children <img src="http://cdnph.upi.com/rss/i/14577274483595/Non-invasive-test-can-detect-celiac-disease-in-children_t.jpg" />Stephen Feller<br />GRANADA, Spain, March 11 (UPI) -- A non-invasive finger prick test could help doctors diagnose celiac disease in young children with minor or no symptoms, according to researchers in Spain.
2016-03-12 23:15:20,749	label:Health
2016-03-12 23:15:20,781	classfying:text:Many unfamiliar with health insurance lingo, study says HealthDay News<br /> One-quarter of adults in Texas don't understand basic health insurance terms, a new report finds.
2016-03-12 23:15:20,783	label:Business
2016-03-12 23:15:20,815	classfying:text:Scientists grow functional heart muscle <img src="http://cdnph.upi.com/rss/i/14577221386436/Scientists-grow-functional-heart-muscle_t.jpg" />Stephen Feller<br />BOSTON, March 11 (UPI) -- Scientists grew functional heart tissue using donated hearts stripped of their cells, according to scientists at Harvard Medical School.
2016-03-12 23:15:20,816	label:Science
2016-03-12 23:15:20,848	classfying:text:Even gardening or dancing might cut Alzheimer's risk Steven Reinberg, HealthDay News<br /> Regular physical activity, including gardening or dancing, may cut Alzheimer's risk by as much as 50 percent, a new study suggests.
2016-03-12 23:15:20,849	label:Health
2016-03-12 23:15:20,881	classfying:text:Migraines linked to complications in pregnancy, childbirth HealthDay News<br /> Severe migraines are associated with an increased risk of complications during pregnancy and childbirth, especially among older women, new research suggests.
2016-03-12 23:15:20,883	label:Health
2016-03-12 23:15:20,915	classfying:text:Study links Splenda to higher risk of leukemia <img src="http://cdnph.upi.com/rss/i/14577163175220/Study-links-Splenda-to-higher-risk-of-leukemia_t.jpg" />Stephen Feller<br />WASHINGTON, March 11 (UPI) -- Splenda has been promoted as a healthier alternative to sugar, but a recent study with mice links the artificial sweetener to higher risk for leukemia.
2016-03-12 23:15:20,916	label:Health
2016-03-12 23:15:20,948	classfying:text:Doctor's empathy boosts patient satisfaction <img src="http://cdnph.upi.com/rss/upi_com/0410c427f95d7d3f7d1bf5bc9e362c6c/Doctors-empathy-boosts-patient-satisfaction_t.jpg" />HealthDay News<br /> Patients do better and are more satisfied with their care if they believe their doctor is empathetic, a new study suggests.
2016-03-12 23:15:20,950	label:Health
2016-03-12 23:15:20,981	classfying:text:Diabetes may raise risk for dangerous staph infection <img src="http://cdnph.upi.com/rss/upi_com/eeeb2f3273379063399e65f19117cfa1/Diabetes-may-raise-risk-for-dangerous-staph-infection_t.jpg" />HealthDay News<br /> People with diabetes may be significantly more likely to develop potentially deadly "staph" blood infections than those without diabetes, a new study suggests.
2016-03-12 23:15:20,983	label:Health
2016-03-12 23:15:21,015	classfying:text:Mom's smoking may put kids at higher risk of COPD in adulthood Alan Mozes, HealthDay News<br /> The children of mothers who smoke heavily may face a much higher risk for developing chronic obstructive pulmonary disease as adults, new research suggests.
2016-03-12 23:15:21,016	label:Health
2016-03-12 23:15:21,048	classfying:text:U.S. health officials: Zika poses serious threat to Puerto Rico Steven Reinberg, HealthDay News<br /> U.S. health officials issued a worrisome assessment Thursday of the continued spread of the Zika virus, which has made inroads into Puerto Rico.
2016-03-12 23:15:21,050	label:Politics
2016-03-12 23:15:21,081	classfying:text:Probiotic pill to prevent cavities may be future of dental care <img src="http://cdnph.upi.com/rss/i/14576434779013/Probiotic-pill-to-prevent-cavities-may-be-future-of-dental-care_t.jpg" />Stephen Feller<br />GAINESVILLE, Fla., March 10 (UPI) -- A probiotic pill could one day be used to prevent dental cavities by regulating pH in the mouth, according to researchers at the University of Florida.
2016-03-12 23:15:21,083	label:Health
2016-03-12 23:15:21,115	classfying:text:Elderly with colon cancer often get costly, dubious treatments Don Rauf, HealthDay News<br /> Expensive drugs are being given far more often to elderly patients with advanced colon cancer, but they offer almost no benefit, a new study suggests.
2016-03-12 23:15:21,116	label:Health
2016-03-12 23:15:21,148	classfying:text:Two-thirds of Americans report daily discrimination in poll HealthDay News<br /> Nearly seven in 10 Americans experience some form of discrimination, which can contribute to higher stress levels and poorer health, researchers report.
2016-03-12 23:15:21,149	label:Business
2016-03-12 23:15:21,182	classfying:text:Agent Orange linked to bladder cancer, thyroid problems, panel says HealthDay News<br /> New report shows stronger link between Agent Orange and bladder cancer and thyroid problems among U.S. military personnel exposed to it during the Vietnam War.
2016-03-12 23:15:21,183	label:Health
2016-03-12 23:15:21,215	classfying:text:Drug combination shrank breast tumors in 11 days <img src="http://cdnph.upi.com/rss/i/14576397695749/Drug-combination-shrank-breast-tumors-in-11-days_t.jpg" />Stephen Feller<br />MANCHESTER, England, March 10 (UPI) -- Researchers in England report a two-drug combination given to patients ahead of surgery to remove breast cancer shrank tumors significantly in 11 days.
2016-03-12 23:15:21,217	label:Health
2016-03-12 23:15:21,240	classfying:text:Widely used kidney cancer drugs don't prevent recurrence, study says <img src="http://cdnph.upi.com/rss/i/14576336837234/Widely-used-kidney-cancer-drugs-dont-prevent-recurrence-study-says_t.jpg" />Stephen Feller<br />PHILADELPHIA, March 10 (UPI) -- Researchers found the drugs sunitinib and sorafenib did not increase disease-free years of survival over a placebo among participants in a study.
2016-03-12 23:15:21,242	label:Health
2016-03-12 23:15:21,265	classfying:text:Certain biopsy method tied to better outcomes after kidney cancer HealthDay News<br /> A type of lab test called a "core-needle biopsy" may be better for certain kidney cancer patients, new research suggests.
2016-03-12 23:15:21,266	label:Health
2016-03-12 23:15:21,290	classfying:text:Pregnant women in favor of first maternal gene therapy trial <img src="http://cdnph.upi.com/rss/i/14576269758958/Pregnant-women-in-favor-of-first-maternal-gene-therapy-trial_t.jpg" />Stephen Feller<br />LONDON, March 10 (UPI) -- Researchers found pregnant women are willing to participate in a trial for maternal gene therapy to treat early-onset fetal growth restriction, in a new study.
2016-03-12 23:15:21,292	label:Health
2016-03-12 23:15:21,324	classfying:text:Carbohydrates linked to increased risk for lung cancer <img src="http://cdnph.upi.com/rss/i/14576214243953/Carbohydrates-linked-to-increased-risk-for-lung-cancer_t.jpg" />Stephen Feller<br />HOUSTON, March 10 (UPI) -- Too many carbohydrates such as potatoes, bagels or cereal increases lung cancer risk, especially among people who have never smoked, according to a study.
2016-03-12 23:15:21,325	label:Health
2016-03-12 23:15:21,349	classfying:text:The high price of untreated insomnia HealthDay News<br /> Most people appreciate the value of a good night's sleep, but a new review has found untreated insomnia in the United States costs about $100 billion a year.
2016-03-12 23:15:21,350	label:Business
2016-03-12 23:15:21,374	classfying:text:Half of Americans' calories come from 'ultra-processed' foods Steven Reinberg, HealthDay News<br /> More than half of the average American diet is composed of so-called ultra-processed foods, a new study finds.
2016-03-12 23:15:21,375	label:Business
2016-03-12 23:15:21,399	classfying:text:Another neurological disorder tied to Zika Dennis Thompson, HealthDay News<br /> The list of neurological disorders potentially associated with the Zika virus continues to grow, health officials reported Wednesday.
2016-03-12 23:15:21,400	label:Health
